"longitude","latitude","Al","Ba","Ca","Cr","Fe","K","Mg","Mn","Na","Nb","P","Si","Sr","Ti","V","Y","Zn","Zr"
22.8954,65.9176,62822,555,13887,65,50289,19716,9106,434,17879,13,1898,245826,181,3657,87,30,55,266
9.8673,44.9932,55836,308,77045,131,30495,13714,10433,1038,6603,12,999,247883,314,3303,83,28,82,172
-3.6325,51.5561,38847,236,2001,60,28047,11273,2472,612,1706,9,986,338987,49,2914,71,22,93,191
28.8205,45.6789,59752,407,18546,99,30076,16005,9709,813,7493,17,703,305238,112,4898,90,37,65,386
-5.7811,38.4744,40064,269,1680,47,25739,9696,2653,480,3487,12,380,379841,53,4682,69,32,40,499
12.6667,52.5,14766,221,1594,19,3987,8285,663,248,2967,6,367,433456,45,1187,16,11,18,228
-7.0086,53.4516,18788,149,24664,45,14408,4101,3136,550,2226,7,829,350065,101,1355,37,24,84,98
9.25,51.3333,44933,441,5146,73,18325,19533,4282,689,6825,18,991,361377,100,4508,65,32,59,583
26.5461,41.4847,76741,748,17432,83,29166,22331,10613,751,18101,11,916,305097,290,3411,86,27,67,192
20.7658,38.1478,43240,247,120427,337,28257,10933,10372,976,5564,11,1017,211236,373,2944,85,28,77,161
25.4844,40.4603,70655,636,44326,120,48121,15590,20202,720,12463,12,842,236290,288,6864,199,28,97,174
2.6551,45.8114,73936,672,4152,62,29656,22115,4885,774,8457,17,969,284624,76,4053,87,28,129,274
13.7789,48.2713,60917,362,9141,90,27837,17400,9890,922,9496,15,820,315054,85,4820,82,34,80,342
11.2586,63.72,61499,291,20305,103,38119,10825,14774,929,16172,10,1414,304537,173,5078,117,27,109,196
16.2115,52.1996,13443,187,1186,14,3637,7886,543,101,2671,4,314,434999,36,1019,11,7,14,210
11.6445,46.7724,67321,481,10785,34,23851,27453,5849,798,15356,10,1829,301872,136,2476,49,28,158,168
5.1152,46.8506,50914,442,3909,70,22871,15507,3196,294,4896,16,1135,348476,74,4233,69,35,56,403
16.4679,47.519,48321,311,2444,42,21123,16088,3196,813,7789,11,441,363761,52,3567,59,20,43,230
27.7,65.3667,73566,677,17281,92,38049,19957,14352,1162,21514,11,781,290046,206,4400,104,20,53,224
22.5767,43.821,71714,439,7905,96,37140,12187,7478,829,5193,15,546,293318,118,5186,112,35,69,258
14.6175,50.8772,67109,661,5610,72,33433,21268,8020,1061,10609,19,1213,310006,89,4832,87,28,107,362
-8.4795,53.1903,30749,188,2559,49,17276,7903,2653,906,4303,10,720,375026,61,2284,47,28,78,194
-0.986,47.7601,53031,303,1965,67,22242,12834,1990,418,4229,16,698,359087,103,5270,75,36,44,557
-5.3444,41.7414,27786,231,2537,29,17416,8808,2111,774,1335,8,685,396809,48,2746,44,22,36,333
17.7427,46.7574,35989,236,39309,34,12590,11672,9468,410,9867,8,951,332256,141,2290,36,20,41,156
8.2633,60.4864,61711,900,10856,21,22452,27287,4704,713,19214,14,2483,298647,216,4047,65,35,114,343
6.4339,60.6122,70602,313,7569,113,49660,15275,15800,1650,17285,14,2073,279529,102,5330,154,28,132,164
25.5333,67,60229,667,11471,53,18745,18454,5126,225,21143,8,777,321878,193,2866,61,9,26,197
4.4711,46.8224,64516,1330,2323,79,18745,43591,3377,643,5935,15,1187,331554,209,3417,59,20,55,402
24.8,65.0333,51126,559,13286,29,12240,17616,4583,310,20253,7,463,359274,215,1930,33,14,19,200
-7.7333,37.1667,68538,341,2023,90,42526,15125,3859,1022,5045,13,585,320429,87,5156,97,30,72,221
19.7703,43.5089,69438,378,59813,229,40287,14063,10553,1750,1632,14,633,209039,196,3837,106,32,82,150
-3.4066,58.2764,55466,503,1487,73,16087,26009,3859,325,14837,12,1117,317111,102,3699,64,18,36,262
-6.2797,53.5142,45251,332,30947,81,26998,11024,4885,906,5564,10,1074,313605,137,2992,96,24,105,194
10.0833,48.9167,37206,548,3159,31,7134,20845,2593,581,6454,9,934,387787,81,1972,37,18,39,272
17.4333,50.3338,45092,485,5317,66,20284,18296,3920,790,5786,15,851,356095,88,4646,57,33,75,511
7.5,50.0833,79864,608,4267,107,37769,22165,5186,1526,5564,34,930,285792,189,5402,119,35,115,308
-5.9469,54.1071,39906,164,3280,47,15038,20314,1869,232,9941,12,1279,329872,43,2290,39,22,37,212
-0.4763,51.5861,24928,246,3195,55,16157,9696,1869,527,1632,8,1026,390732,43,2728,49,20,73,315
11.0833,54.25,43399,383,5789,56,20633,18653,4462,674,5712,10,659,362920,79,3034,71,19,47,279
15.0119,53.659,18259,228,3295,20,5456,9132,784,139,3709,7,314,418451,50,1625,15,12,17,313
-2.6435,54.118,43028,247,5689,84,25739,9787,4342,999,4525,11,1471,336743,58,3267,69,23,72,441
-4.3903,50.9178,57583,345,2151,81,34342,13606,2774,682,2893,17,999,326927,58,5468,100,29,44,379
15.6983,40.9444,59117,527,99987,49,27208,18521,7056,852,5193,24,781,213292,206,2980,78,29,61,234
21.1776,49.28,53401,446,3759,88,25040,18296,4704,1967,6973,17,799,344175,85,4916,79,30,64,448
-0.242,47.378,66633,711,8105,61,24690,27229,5126,534,12241,22,842,325945,183,4718,72,30,59,241
18.0173,66.8843,76741,635,24300,66,49100,17475,12845,1286,19362,12,1484,286400,273,5414,120,35,72,206
9.1808,60.0314,56312,577,14737,27,26578,17649,5548,666,17137,11,1283,318139,222,4292,67,24,59,294
32.9146,51.1171,28950,326,5553,43,9862,13756,2352,225,4377,10,489,383020,80,2932,31,23,24,628
30.7667,62.2833,35248,327,14001,31,12240,7023,3618,186,11573,6,1139,176271,205,1703,39,13,26,139
21.1984,44.3456,85421,495,9541,148,44344,18496,10915,689,7419,15,703,269479,123,5114,129,35,103,200
-4.4725,43.3061,28632,193,2744,26,14758,8791,1447,395,816,12,1074,376709,47,4047,48,30,63,439
32.2479,49.2992,35883,378,5389,55,14198,15897,2834,403,5267,10,476,375681,79,3579,44,30,30,651
22.2561,49.8753,40805,404,3316,74,15178,16993,3015,782,6899,15,589,373110,76,4400,45,29,45,606
9.0833,52.6667,11855,166,1329,21,7344,6293,422,225,1558,6,642,428408,30,1097,28,9,27,213
7.5833,50.5833,78647,615,5439,114,37839,21941,7478,1479,5786,39,1375,296403,167,5474,119,35,116,371
7.1667,49.1667,64516,377,30225,81,34132,21443,28705,836,3042,17,834,249846,98,3759,100,29,126,224
23.2406,48.8929,61128,452,6018,78,27558,18795,5849,906,6083,15,1641,300002,171,3879,100,20,86,188
31.6474,51.3197,32390,382,4009,47,11191,15931,2231,434,5267,12,423,389751,93,3291,35,27,24,638
5.2176,45.5013,29691,232,2673,45,14828,9879,2472,682,3635,8,781,391200,60,2062,46,23,43,178
-7.3333,42.3136,76847,397,3252,7,9582,36128,2593,403,17953,8,1375,322813,118,1157,13,12,56,93
31.6941,49.9356,35248,375,6289,51,13709,16246,2834,410,5045,12,637,370726,82,3417,36,27,31,634
22.1378,38.9167,75154,334,20819,191,43505,17765,19056,697,14169,13,759,273732,109,4898,127,30,91,187
14.4167,51.1667,45145,457,4788,70,20773,18570,3739,534,6306,17,738,358993,95,4221,54,33,67,574
25.6496,56.5621,60282,474,3988,59,28887,28540,6995,581,4822,13,463,333144,86,4089,72,25,56,297
16.5118,49.0028,59117,529,7940,93,27348,21526,7357,705,8680,17,860,323795,112,4436,78,35,71,400
8.3411,61.2075,82563,912,18704,60,44834,24938,10493,1580,18398,15,2134,244190,375,5587,123,33,154,235
12.5578,64.5767,84468,477,22599,164,56164,21360,27137,860,17582,14,921,261158,164,5491,162,34,104,196
5.2348,51.8932,37841,311,2930,80,26509,11406,3015,1208,4006,14,777,372315,55,3549,66,30,90,469
10.8333,50.75,56206,636,1722,34,19025,38411,2653,1131,1706,20,964,345063,71,2614,41,33,81,264
17.0055,57.1499,18788,297,6918,6,3287,9937,905,101,5267,6,628,407139,85,1295,12,20,19,524
-2.2158,41.2425,36254,209,185108,32,17206,12336,12362,341,668,9,777,150889,211,2014,48,18,44,118
31.8513,47.554,21911,187,231849,38,16297,5952,3920,449,1261,6,943,112513,263,1595,44,16,33,122
27.5167,63.4833,68062,648,17360,79,33363,19533,12121,658,19288,13,1253,293038,255,4167,87,20,73,244
-0.526,48.7167,45304,342,3116,85,20703,14411,3256,736,6825,16,938,359741,64,4892,78,32,58,532
-2.5916,53.714,49167,385,3766,56,22242,13697,4282,379,3561,10,1405,319541,71,2938,70,21,80,225
11.8923,47.2394,75842,600,16345,41,26509,21111,9649,573,21885,14,1279,301779,204,2992,68,31,81,252
24.5767,40.7553,71978,656,20598,64,25669,31844,12905,782,13724,8,576,303976,151,3165,67,23,113,144
26.3096,43.0932,53931,394,2916,53,23291,12137,5427,612,12834,15,428,351561,81,4257,62,24,51,252
15.2521,48.8428,63934,584,5825,73,26718,22472,4764,759,9422,15,764,326880,121,4472,81,34,63,444
32.309,51.7797,17571,238,1737,28,5456,8990,965,310,2300,7,340,420461,41,1954,21,14,14,428
24.8833,67.4833,61605,463,19318,92,38609,13930,12181,465,22627,10,476,291261,173,4814,123,15,32,173
-5.9756,37.0075,73513,307,78617,104,39868,21833,22554,689,3709,16,724,192398,291,3711,117,26,91,114
15.3752,60.3871,54037,537,6111,27,21263,25560,4704,713,10831,15,772,337491,98,3315,62,23,69,224
-1.4831,40.9058,31226,203,141654,27,15248,9298,4282,379,890,9,615,206702,68,2200,41,21,38,235
22.2333,62.3333,44722,490,7411,15,9582,16860,1749,310,13353,4,511,372222,148,1085,21,17,18,122
19.97,66.5702,71449,545,23742,70,39378,18130,12181,697,21143,14,1026,290233,235,5629,114,33,69,352
-8.2333,38.9667,24928,337,1851,7,2868,21102,362,449,2226,3,279,418171,37,1109,10,9,10,133
3.3439,51.1758,17412,185,2980,32,5386,7953,784,178,3783,6,1344,410224,45,1229,24,9,51,278
6.3476,47.7955,59276,1031,2616,48,21682,31761,5246,898,8457,12,1829,319588,150,3441,62,17,68,255
23.2737,43.394,63298,439,6389,94,36720,11730,5608,1564,4600,19,716,307575,91,6211,111,43,71,329
11.9167,53.5,27839,327,3559,33,9372,13697,1749,387,4970,8,829,400128,84,2068,29,16,31,310
3.7858,47.2447,70814,637,2030,30,15457,40005,3377,581,13428,14,659,331648,140,2674,36,20,52,282
-0.0021,51.896,29956,204,2401,53,20144,8011,1749,503,1780,10,642,386853,41,2704,56,22,56,276
28.55,61.0333,78382,700,11392,93,41756,22447,10674,604,13576,17,1117,263262,191,4754,107,26,107,166
14.5732,63.0335,72613,508,11121,72,41896,27885,12121,1131,4451,13,1296,250875,62,3861,138,34,142,155
-6.5831,39.6761,67532,220,1901,39,17696,27420,3015,201,14911,8,1117,345110,29,2722,47,19,81,167
23.4169,37.4978,63616,288,27287,616,45953,18238,42755,1115,6677,10,642,256390,91,3705,108,23,98,147
15.8192,49.0558,75842,900,9398,92,35251,22954,9166,643,15208,15,1231,299815,145,4292,108,38,117,258
0.2472,41.0536,19847,127,211194,16,9512,8052,31599,194,593,6,319,127798,345,1529,32,16,25,155
10.8647,59.4919,73195,650,9970,72,38749,24830,10010,689,13873,21,1440,288737,183,4460,119,31,100,273
16.5175,62.4191,64939,504,13158,55,32454,24215,8804,914,14244,18,1314,302667,124,4778,86,32,101,271
-2.9844,39.3333,16883,142,18689,14,6924,8061,1568,186,445,6,266,407467,47,1109,17,12,18,118
23.8989,35.5017,56471,196,62801,71,35811,12635,7900,612,5193,28,1737,266721,183,5192,90,31,63,289
11.3333,49.25,39747,438,4445,50,23081,18537,2774,1131,890,10,1388,361751,76,2248,90,25,120,152
22.3283,55.9025,34348,353,3102,34,12870,20114,3437,318,4451,7,384,388068,64,2056,35,18,29,277
27.8337,48.6122,53984,455,6597,79,24690,19218,5186,782,6083,16,559,333938,89,4766,74,38,55,447
-5.9161,36.6342,40011,200,55339,55,23641,9995,3980,178,1780,10,419,309491,71,2758,67,24,32,447
9.2671,45.2748,65733,450,9470,70,26159,16105,7297,596,12166,13,607,325384,128,3849,75,32,88,223
12.0458,60.2103,50914,503,6304,29,18745,20945,4885,379,12982,13,772,351047,134,3411,56,24,35,264
-5.6684,57.8156,31385,530,1851,20,19654,18014,2050,1959,6528,6,873,347681,79,1739,35,10,35,118
24.7131,55.0853,30220,352,5753,27,10911,17558,2653,364,5045,8,493,391761,78,1912,22,20,27,303
24.5669,38.8558,89390,554,6990,79,33433,26424,7056,364,11870,13,607,292009,85,4077,101,38,88,218
-0.7672,40.0467,46204,230,143226,49,24340,15524,5669,496,964,12,502,193940,131,2800,61,30,52,162
14.7699,51.7966,19265,227,1622,23,7204,8941,1146,379,2226,6,445,421583,36,1643,24,13,32,187
-2.359,55.9234,45833,519,3323,88,30355,13282,4282,728,4525,18,842,355113,108,4424,70,24,54,320
25.807,48.2057,69808,554,14087,101,34902,20372,9226,1154,5786,16,559,283362,418,4898,122,27,78,215
23.4892,56.5833,62716,459,39637,65,32244,28001,15980,589,4896,14,720,269806,111,4017,79,31,65,259
16.3985,48.5345,58853,380,57748,81,29516,16454,16403,643,7789,14,855,259242,143,4490,85,36,69,329
4.8575,49.5353,30538,262,5968,78,14898,13930,3377,410,3635,14,768,373110,66,3657,57,20,52,392
20.0445,52.3971,19635,229,1751,29,8533,9372,1387,449,3190,5,471,414852,41,1205,22,10,31,165
-6.9167,40.9333,80922,270,2301,6,9302,42088,1930,217,19585,11,1379,331508,63,1391,16,9,55,111
27.7092,50.7648,20694,287,7433,36,5246,10377,1085,263,3932,8,310,401063,97,2494,22,18,18,523
26.6207,51.729,9685,123,808,14,2658,4757,422,62,1187,4,240,436822,24,917,12,9,10,223
26.0833,65.95,70390,612,15695,88,37000,18911,12845,527,20179,13,807,281819,200,4526,97,21,56,232
20.7598,44.8522,70126,424,23993,108,36301,20397,14051,867,7196,16,1222,271021,102,4916,109,36,89,286
-3.8325,50.2936,66844,387,2566,121,39798,17798,7719,1239,3264,17,1274,305284,46,4640,108,29,82,236
10.0833,51.75,42128,428,4653,70,17486,18296,3196,620,6825,17,650,369884,84,4550,56,32,54,645
23.3167,62.5667,50543,516,9556,17,7834,20106,2533,248,16098,5,895,321738,154,1145,43,11,28,104
16.5716,58.1936,75524,612,11685,67,40357,27104,10674,666,12241,17,864,271021,134,3843,95,31,102,197
-0.8842,53.2873,60123,385,7004,86,31055,31089,12302,782,3561,15,751,290841,60,4095,80,31,82,288
18.1813,46.6823,59752,372,42196,86,30425,15283,13026,743,8606,17,1047,278079,147,5018,88,40,63,396
18.2773,51.1766,29215,370,3488,44,9862,15034,2231,565,4600,12,659,397978,60,3159,32,20,39,500
17.7364,47.5461,49855,341,61314,62,23781,14743,14593,627,8309,11,1143,275602,195,3237,63,26,65,205
21.866,48.1261,29056,223,7783,32,11331,8625,2352,356,8902,7,441,392555,84,2260,28,16,31,144
-3.7918,53.1309,83939,445,2730,85,54276,20048,10372,1456,7864,16,1501,275649,79,5066,124,35,172,212
11.9167,49.75,33078,739,1429,32,6295,25295,965,682,1113,6,956,392415,90,1571,24,19,67,400
4.9464,48.6494,58006,296,19118,95,38539,13241,4462,759,3042,16,602,316737,78,4466,103,35,74,381
8.9453,61.1756,78329,751,16760,57,46163,20920,10855,891,16024,14,1095,264290,322,4610,115,31,95,264
-5.1389,38.4653,88120,600,2473,99,50219,23601,6573,705,2522,17,502,294814,49,5384,143,36,95,289
8.75,48.0833,74624,279,9863,111,36720,14694,6995,953,3042,18,1191,247976,67,4640,125,53,79,264
21.5067,42.0371,69597,768,40659,296,44834,17690,18151,1069,6825,15,694,254006,143,5018,125,34,129,192
11.1,44.2508,64039,377,57669,120,35671,17848,14593,1402,8828,11,716,253492,230,3129,86,27,100,142
23.9833,37.9247,47738,267,114710,413,33923,11282,18212,968,4451,11,685,202261,85,3423,86,24,74,143
10.25,54.0833,18312,240,2166,16,6924,9148,784,418,4154,6,873,421630,52,1157,26,9,27,168
4.1764,43.6333,32337,194,162809,49,16017,10518,7297,310,2374,10,742,188378,492,2392,48,20,64,177
22.1733,55.2386,40541,385,3416,44,16577,19342,3859,325,4970,10,432,372409,74,2818,50,19,41,321
17.6583,51.6254,9897,147,958,12,2728,5587,302,116,1780,5,349,440187,25,725,10,6,18,173
-6.1673,53.085,64251,389,3538,70,37699,17184,4643,1642,7419,16,1117,293458,60,5204,108,28,60,235
12.9167,53.4167,21541,253,2509,14,8463,9240,1206,410,4970,7,655,417283,61,1025,18,12,32,215
16.9475,60.17,55466,558,20069,43,26788,20961,6573,774,13057,11,1170,237179,192,2560,60,31,64,227
7.4178,58.4767,63351,889,13801,12,17836,24755,2472,372,20995,14,2470,297151,331,3729,42,32,53,597
29.5537,49.2453,49167,432,10213,75,21962,17641,5126,550,5638,15,615,331882,88,4257,71,35,47,486
13.9102,50.0543,52766,564,4381,75,29586,15250,4462,1363,7270,14,668,333892,85,4874,97,33,78,336
10.5244,43.8825,69491,444,6611,141,30006,19641,15619,805,16840,11,1100,315568,124,3393,87,24,88,198
25.7042,41.0947,66844,634,4910,52,20284,22796,4221,689,17508,10,502,340623,135,2536,61,17,52,193
1.0922,43.4277,52290,376,2409,68,22802,14104,3859,829,3783,20,502,356936,67,5707,114,37,67,425
29.2379,48.4241,55307,434,6697,85,26788,16927,5669,720,5416,15,585,325431,90,4478,80,35,58,412
11.0833,52.4167,19053,263,3145,22,25250,7886,965,387,2967,10,816,395734,58,1247,21,15,34,315
23.1764,52.9896,28897,324,3323,27,9932,15017,2171,287,4600,7,305,400595,61,1990,25,18,32,306
11.2847,42.8678,81240,324,46413,133,43225,20920,14413,1061,5712,15,703,237459,160,4203,127,26,105,143
23.9261,50.6143,25986,278,2980,37,10002,11265,1809,372,3709,10,467,402278,53,2542,32,19,27,365
6.3138,48.7044,92248,333,9613,125,46512,18620,7900,821,2151,21,768,255549,92,5629,177,41,92,255
-5.2422,58.1551,61764,439,22084,212,34972,7529,16101,697,19956,6,1903,264524,306,3501,99,18,153,164
12.9167,51.5,19794,253,4824,24,5595,9696,1266,217,3338,8,659,406906,63,2020,29,14,36,446
15.6819,41.6947,109714,889,18282,95,49590,24381,9588,1208,5861,45,838,217640,268,5677,156,45,100,348
14.5014,56.7124,62610,878,12836,16,16437,24190,2714,674,21143,10,1012,328797,266,2380,38,17,44,330
25.1058,47.9831,54460,381,10027,107,26509,15059,7417,643,9718,11,1270,311174,101,3117,80,24,125,185
21.9764,37.2119,39217,192,1387,283,21403,8800,3980,488,10979,8,284,376522,45,2986,55,18,36,255
8.2958,45.5811,64251,385,6618,99,29096,14162,6332,565,7715,18,388,323935,94,5414,93,40,67,497
-5.1556,40.3731,78065,528,1515,19,21193,36983,5246,496,5861,16,995,320897,85,3309,41,21,78,224
21.7188,53.137,25139,277,2144,27,8743,11622,1327,434,4080,6,484,406438,50,1757,22,15,28,400
24.7853,35.0656,61287,234,36385,430,40008,13830,24905,813,11647,11,515,282847,149,4035,105,24,75,162
25.95,68.45,25404,185,18568,99,15877,3744,11759,263,7938,6,982,99938,107,1870,56,12,24,76
16.9465,61.4874,64886,593,12972,38,23991,24066,6030,674,16989,11,1170,312670,154,2728,54,29,80,264
19.4941,43.5506,60758,300,3316,85,33223,14046,5066,1828,5861,17,786,315428,44,5264,91,25,108,216
10.9167,52.25,33343,256,3016,54,20284,10858,2111,844,2448,12,781,384048,58,3057,64,17,38,323
7.25,53.5,18418,198,1908,34,5875,8135,1025,209,2967,6,790,395734,44,1565,30,12,24,347
2.468,47.1526,52872,344,4417,79,26578,14694,3377,658,3264,18,624,346653,58,4964,82,35,61,429
19.747,63.8076,56789,464,13908,43,19234,17815,4523,426,17582,10,960,310894,173,3129,52,26,39,319
28.65,66.5333,61446,499,16109,88,27767,15673,9226,333,21811,11,1126,299769,185,4071,88,15,32,273
2.3848,47.6042,15878,262,715,24,3567,10759,362,139,1335,8,467,433082,35,1655,26,13,12,247
7.4856,51.142,45833,391,17767,65,21333,17176,3859,465,6306,14,663,338052,100,4197,66,32,63,512
22.4751,56.6256,37683,377,3230,39,16017,22663,4462,410,3264,10,633,378345,68,2512,39,20,38,275
20.6553,38.6369,64198,308,7819,364,37420,16346,11759,1355,2893,17,576,300470,68,4724,113,37,79,259
-5.6892,55.5696,60599,387,5189,68,31894,12610,6573,379,17359,15,1082,315521,92,5102,93,19,55,314
20.8547,39.6106,84468,293,8912,228,41336,6467,5246,751,2226,27,746,260410,97,5264,119,57,108,268
6.9392,52.8736,13231,186,3709,25,3427,6915,482,225,2893,6,397,386338,39,1283,34,9,22,468
29.3208,48.8356,49432,452,5367,75,20493,19085,4342,914,6677,17,532,349972,90,4760,64,35,48,508
29.2677,50.6506,6880,107,1830,15,3078,3354,362,256,964,5,314,437196,30,1019,15,9,9,213
9.0833,54.6667,12596,193,1508,18,3637,7148,422,186,2671,5,934,423406,38,1415,23,9,23,294
8.865,40.1169,83516,1033,13086,240,70643,21343,7176,1053,21736,62,873,238534,431,18075,218,21,89,314
7.1047,61.8919,71396,1480,24986,35,31405,22240,9166,689,21365,14,3046,273171,726,4604,78,28,89,385
2.2587,43.9645,30749,283,1122,29,12660,10651,1689,550,2077,16,471,398024,40,5282,50,32,36,461
11.7972,61.3342,28103,421,1286,16,9302,18678,1025,139,3932,10,930,390732,52,2104,22,13,18,302
27.6282,50.2985,22758,242,2344,40,8953,9339,1447,333,3487,9,319,411627,45,2326,28,17,21,327
24.7815,50.525,40541,389,9727,62,16507,16354,3799,426,6232,14,646,364088,96,3915,53,35,38,615
16.448,53.5851,25510,271,3223,29,10212,11688,2111,271,4525,6,441,405737,54,1667,31,15,31,218
5.7883,46.4312,28421,143,21934,66,20284,8800,4462,426,668,11,1305,341464,57,2722,74,24,145,172
-8.9,37.0667,39217,406,9934,47,26019,15657,7839,945,1261,13,650,356469,82,3621,68,27,59,336
23.6,63.7833,54354,487,17946,38,33223,18628,5970,310,17137,12,1575,268263,183,3099,52,25,37,265
10.5828,43.2375,62769,172,9677,1873,62389,8476,24966,1603,9051,10,524,274854,98,4131,122,23,89,155
-2.8793,55.5394,54354,352,2501,123,29096,13382,10191,534,10460,13,816,335808,67,3993,80,27,67,312
24.1259,51.4925,8309,129,850,16,2378,4541,302,147,1335,3,310,441403,25,881,9,9,13,222
21.3667,62.3667,58959,609,11614,27,12450,21028,3799,294,19362,6,860,351841,207,1433,34,20,32,164
-1.4904,60.4729,61817,551,12979,62,22732,17915,8443,395,22701,11,1484,279669,202,3405,76,24,52,175
27.6777,42.9508,57635,446,4660,82,24900,15399,4945,1317,10757,17,602,338239,113,4988,81,35,57,392
19.7942,45.4404,64833,413,19733,86,33153,17367,11458,836,7938,15,956,291495,99,4850,93,39,73,312
21.1817,38.9417,60070,311,4788,325,30565,15316,13629,604,15505,11,550,325618,88,3957,85,24,68,206
28.0683,36.1575,29321,120,94483,1896,38259,5603,68445,1015,2819,8,537,197399,154,2482,73,17,57,79
7.1958,58.2872,64992,1012,10570,6,24550,29769,1689,488,20920,19,2204,305799,305,3477,41,17,55,497
30.6524,51.0359,7780,136,1687,10,2518,3835,543,170,816,5,441,420415,22,695,12,7,21,127
-8.6803,42.5419,76159,537,5675,16,26089,28516,4402,480,12018,20,733,305892,85,3165,39,31,80,435
4.4964,51.3828,12332,148,1815,36,4546,5139,543,279,1632,6,1139,413870,31,1409,41,12,41,332
11.5271,46.0439,41917,236,100987,27,16157,14901,58494,325,7938,8,1305,170148,92,1894,47,17,80,87
26.2824,59.3847,42605,501,15981,29,15807,20803,3377,743,8309,10,2330,333938,138,2014,30,24,111,275
-4.1264,39.14,77853,720,536,75,32034,25452,3437,782,890,22,672,325665,48,7224,100,58,75,703
12.75,54.25,35672,343,4438,38,14758,14486,2895,294,5564,10,502,382692,81,2632,41,20,43,348
17.8566,48.9709,66950,330,3638,99,31055,19774,8865,968,7567,17,655,314446,85,4670,99,33,77,285
0.1711,45.1556,27892,361,993,15,6015,17607,724,155,3635,10,266,410224,52,2332,26,24,17,346
-1.4003,49.5244,40170,684,4174,68,18605,15258,3015,1162,5861,13,951,365117,69,4023,55,29,74,503
21.3311,44.8769,68168,431,8648,119,34552,17126,9106,782,10979,15,746,311174,108,5312,97,36,72,335
29.8721,51.0028,30114,291,12693,40,12800,10153,3196,271,2967,9,340,375727,62,2356,36,20,25,332
0.8112,45.2116,19529,92,237352,40,11121,4914,4402,287,816,7,982,128032,189,1601,54,18,58,111
34.0272,50.5266,45569,427,7254,71,19794,17981,4462,550,5861,14,554,348195,90,4101,61,33,43,561
-3.3514,38.4011,115906,769,1151,130,65957,28466,11096,999,4377,27,1043,244704,120,8339,160,46,124,235
10.0833,49.8333,52396,404,8605,94,25669,18869,6272,867,7864,17,916,339267,96,4724,78,40,54,562
-2.2978,50.7086,20006,126,2466,49,5386,4367,1146,77,1558,10,698,398538,31,2860,31,20,32,382
16.8588,61.1858,67638,600,10163,51,31125,22663,6151,441,13873,15,930,285792,133,3693,82,34,59,263
-7.1894,37.2675,33396,197,1765,29,13569,11373,1568,132,7344,7,257,399520,48,2344,44,13,23,130
33.412,50.2072,38371,371,22420,62,16437,15632,4704,441,5045,13,1021,328189,130,3639,50,30,49,540
-1.3743,43.6011,29162,198,2509,28,11401,9613,1930,294,2448,8,742,402652,57,2110,48,16,34,200
26.5833,61.7167,61605,556,12043,67,32034,12411,7478,325,10534,13,1667,206187,154,3501,86,52,48,133
8.6667,50.4167,50596,406,6418,98,25250,17458,5246,821,7641,21,733,344362,90,4988,70,42,69,574
14.0226,50.5177,53825,437,5267,78,26299,17599,5066,511,5935,17,585,342726,104,4850,79,37,60,554
3.9369,50.8153,42922,330,4367,96,22732,15225,4101,511,7344,14,842,360816,77,4442,71,38,56,689
13.5586,61.8173,27309,431,1136,12,6575,19259,905,147,3264,9,292,400782,41,2344,25,14,13,383
13.2854,60.3896,47686,591,8112,10,13429,24390,3196,418,15134,11,877,367641,180,2428,38,22,34,352
-3.1644,42.9578,45410,163,103846,52,16856,10153,5488,294,4377,13,1082,224558,195,2764,62,23,63,166
22.6223,51.1882,33502,402,3545,55,12240,16379,2231,705,5045,11,742,386105,69,3603,37,28,39,552
7.7697,62.5092,70390,686,25858,79,25110,15557,10131,527,22998,11,1117,313091,475,3051,67,27,41,272
9.3333,48.1667,67850,270,39809,108,38259,16354,7056,1193,3561,19,1763,246808,92,4466,122,50,103,295
-6.8459,52.9854,29215,198,1880,53,18885,8434,2653,1030,2819,10,633,387086,38,2512,50,24,115,200
-0.1679,52.8771,46415,402,4681,69,21612,16354,4462,387,7567,10,899,354272,94,3501,60,26,57,329
27.8667,70.0667,70761,521,26966,164,44764,12178,20262,790,23072,8,903,285839,266,4454,125,23,91,219
14.7431,45.2881,54037,176,793,48,33713,7305,3558,488,3709,12,868,327114,36,3837,81,21,68,210
23.1484,50.2597,25669,297,2080,44,8323,11896,1387,472,5045,10,397,408542,54,2842,28,20,33,490
-5.4911,37.5311,18788,146,1251,27,10002,7471,844,232,1335,7,266,421303,27,1679,26,15,38,221
9.7167,56.55,27045,329,5196,24,9233,12544,1447,418,6603,9,999,393490,87,2170,24,14,35,378
21.9748,51.2467,28050,333,2451,47,9722,13980,1809,341,4600,10,415,402558,63,3093,35,23,30,615
2.2108,44.4215,51231,520,5389,90,39378,14461,4462,2734,1039,20,1226,318419,57,5480,115,43,84,378
-1.5285,53.2304,56736,1111,3088,68,31195,10933,4945,713,8086,14,943,322767,74,4808,73,35,369,355
3.4453,44.064,73566,650,9606,62,22172,36618,8865,782,13205,20,2422,288410,185,2956,46,28,159,306
11.25,50,64039,393,13629,94,34692,18454,12905,929,5045,17,838,289672,78,4694,94,45,96,426
19.5833,60.1833,48056,425,11614,33,12380,18072,3618,279,15208,8,786,357077,143,2404,32,26,33,305
22.5,63.1167,55836,545,11771,24,12800,20629,3859,349,19733,8,755,330012,192,2284,33,20,30,275
